"iter","model","start","n_years","n_samples","n_clusters","e_clusters","mae_oracle","mse_oracle","elapsed","tvd","wd","mae","mse"
1,"CKDE",24761,500,50,1,NA,27.52598,1221.88558,0.295217037200928,0.421376086431021,130.397696373517,46.28806,3319.86806
1,"BGMM",24761,500,50,1,7,27.52598,1221.88558,19.6456871032715,0.388011082549658,26.1802192590273,45.04014,3152.88702
1,"DPMM",24761,500,50,1,1,27.52598,1221.88558,1.58038687705994,0.139533398694261,5.02098370504098,27.825451149418,1322.06440688217
1,"NetC14",24761,500,50,1,5,27.52598,1221.88558,4.50457811355591,0.306498283503917,18.382673080362,39.75824,2473.83828
1,"SPD",24761,500,50,1,NA,27.52598,1221.88558,0.00018000602722168,0.558460826909874,48.2160986588021,65.74626,6486.44474
2,"CKDE",587,500,50,1,NA,19.5776,635.45792,0.213304996490479,0.235205698169036,35.0021817995664,22.68832,904.22928
2,"BGMM",587,500,50,1,7,19.5776,635.45792,22.5717539787292,0.0784704039430638,4.21096873896035,19.23952,616.83592
2,"DPMM",587,500,50,1,4,19.5776,635.45792,2.03777194023132,0.0938401888375029,6.15670076273193,20.6601142000249,721.593391566208
2,"NetC14",587,500,50,1,4,19.5776,635.45792,5.16974496841431,0.182294024251177,11.3696966052618,21.17766,745.89174
2,"SPD",587,500,50,1,NA,19.5776,635.45792,0.00023198127746582,0.261431522342038,21.8645211919821,32.44046,2266.30066
3,"CKDE",4590,500,50,1,NA,34.45204,2188.42972,0.226970911026001,0.490234511478502,292.21858334213,92.81508,11506.72508
3,"BGMM",4590,500,50,1,7,34.45204,2188.42972,24.2644441127777,0.538640441855696,66.9030129627505,82.10146,9938.16358
3,"DPMM",4590,500,50,1,1,34.45204,2188.42972,2.07986497879028,0.474403916907254,55.5730974373989,77.6346408943624,9539.54555191197
3,"NetC14",4590,500,50,1,7,34.45204,2188.42972,4.6831648349762,0.752791531605699,97.0250543763242,103.3064,13609.2896
3,"SPD",4590,500,50,1,NA,34.45204,2188.42972,0.000237941741943359,0.470773757271361,56.1027917441788,76.70622,9058.70446
4,"CKDE",20836,500,50,1,NA,27.08856,1184.80468,0.253420114517212,0.233051138947472,65.3247327790007,31.73338,1777.68078
4,"BGMM",20836,500,50,1,4,27.08856,1184.80468,22.5414190292358,0.129208870174241,12.8830571252035,29.79716,1489.43832
4,"DPMM",20836,500,50,1,4,27.08856,1184.80468,1.80006790161133,0.163187214339681,12.622237047766,31.3706768622778,1684.02536947796
4,"NetC14",20836,500,50,1,5,27.08856,1184.80468,5.02965712547302,0.0919489771109222,11.8265867032814,29.84624,1709.06204
4,"SPD",20836,500,50,1,NA,27.08856,1184.80468,0.000171899795532227,0.206253642025522,27.5404028452142,42.92842,4190.73298
5,"CKDE",30933,500,50,1,NA,40.86066,2663.34566,0.243396997451782,0.252563378402302,38.4094961970386,47.5541,3507.67066
5,"BGMM",30933,500,50,1,9,40.86066,2663.34566,23.3497359752655,0.5160915416442,29.7379242306089,35.65612,2008.06792
5,"DPMM",30933,500,50,1,1,40.86066,2663.34566,1.87484979629517,0.479589648754182,29.6703627534076,37.6331462852097,2283.04628375099
5,"NetC14",30933,500,50,1,4,40.86066,2663.34566,5.01461815834045,0.179620179190114,18.3309207576543,42.21026,2818.86078
5,"SPD",30933,500,50,1,NA,40.86066,2663.34566,0.000240087509155273,0.367774491628948,31.57727667032,62.05352,5786.84148
6,"CKDE",28326,500,50,1,NA,28.4311,1303.5325,0.25931715965271,0.51861552827217,118.72363575024,65.14594,6178.47582
6,"BGMM",28326,500,50,1,6,28.4311,1303.5325,23.9214200973511,0.45962982696098,40.9044802777963,58.58484,5357.23188
6,"DPMM",28326,500,50,1,1,28.4311,1303.5325,1.54705500602722,0.294995036246924,25.7643902634305,47.5885209519311,4683.94032589498
6,"NetC14",28326,500,50,1,11,28.4311,1303.5325,4.38112306594849,0.519275447780539,52.0290305432191,68.80578,7185.52006
6,"SPD",28326,500,50,1,NA,28.4311,1303.5325,0.000257015228271484,0.637587277566352,67.1712590284133,84.9442,10090.95976
7,"CKDE",5293,500,50,1,NA,24.1002,915.55796,0.205735921859741,0.564353925044994,343.222890619749,76.19612,7419.18776
7,"BGMM",5293,500,50,1,4,24.1002,915.55796,20.754930973053,0.511626831750616,22.0649266624149,28.4201,1172.58514
7,"DPMM",5293,500,50,1,2,24.1002,915.55796,1.73802781105042,0.255464700434096,9.89176109539544,24.505838753328,1000.1536050571
7,"NetC14",5293,500,50,1,4,24.1002,915.55796,4.46301698684692,0.227075901242225,13.4716811423654,32.41192,1955.42392
7,"SPD",5293,500,50,1,NA,24.1002,915.55796,0.000379085540771484,0.420963629604224,41.4704342438677,60.48974,6479.74286
8,"CKDE",18158,500,50,1,NA,37.84616,2318.61656,0.173186063766479,0.49999629028448,256.998119132532,29.96586,1483.83982
8,"BGMM",18158,500,50,1,8,37.84616,2318.61656,23.5520031452179,0.193375596777423,12.5729115673267,37.60598,2217.65658
8,"DPMM",18158,500,50,1,2,37.84616,2318.61656,1.60524082183838,0.124252022227338,6.16291017132137,35.1101514982716,2007.99437195137
8,"NetC14",18158,500,50,1,3,37.84616,2318.61656,4.21697306632996,0.108205404824605,6.78875462060649,41.185,2753.2192
8,"SPD",18158,500,50,1,NA,37.84616,2318.61656,0.000236988067626953,0.413693710390142,61.8837388487607,90.31468,14655.13212
9,"CKDE",40500,500,50,1,NA,38.72978,2337.18138,0.208673000335693,0.482673514433587,75.8799385534507,78.48688,9487.10912
9,"BGMM",40500,500,50,1,9,38.72978,2337.18138,20.9389779567719,0.851420667359393,70.361720599453,65.51166,5475.6737
9,"DPMM",40500,500,50,1,2,38.72978,2337.18138,1.54288101196289,0.335028046090682,30.7555564675535,45.1509040393925,3349.39108894268
9,"NetC14",40500,500,50,1,6,38.72978,2337.18138,4.58951997756958,0.268475613221711,26.8212743550439,47.46468,3486.46376
9,"SPD",40500,500,50,1,NA,38.72978,2337.18138,0.000168800354003906,0.591833185707133,82.0189418901479,106.9263,16814.50014
10,"CKDE",23113,500,50,1,NA,32.78438,1692.62986,0.187386989593506,0.39705977481348,98.4333467553915,50.77752,4141.60244
10,"BGMM",23113,500,50,1,9,32.78438,1692.62986,22.8142998218536,0.0972796153374821,6.94042394198111,35.80412,2118.40144
10,"DPMM",23113,500,50,1,1,32.78438,1692.62986,1.65501403808594,0.310716222020773,14.6066630781067,31.7352383843165,1736.96470083583
10,"NetC14",23113,500,50,1,5,32.78438,1692.62986,4.3805079460144,0.0538105925057085,6.60642340420499,37.11332,2702.49516
10,"SPD",23113,500,50,1,NA,32.78438,1692.62986,0.000226974487304688,0.525295533128941,79.3626024162496,97.9647,15574.48246
11,"CKDE",15852,500,50,1,NA,31.5358,1564.81232,0.240755081176758,0.27869926915158,26.7476431803799,40.5469,2723.98754
11,"BGMM",15852,500,50,1,5,31.5358,1564.81232,22.8066489696503,0.131932449042035,11.8701062034948,33.32886,1747.55754
11,"DPMM",15852,500,50,1,2,31.5358,1564.81232,1.84363389015198,0.388718554079239,17.3611628479538,29.145527199301,1431.43389140195
11,"NetC14",15852,500,50,1,5,31.5358,1564.81232,4.62581610679626,0.154327449967855,14.640997228369,35.02048,1927.23368
11,"SPD",15852,500,50,1,NA,31.5358,1564.81232,0.000247001647949219,0.286454421807455,35.2291391703317,55.734,5503.9102
12,"CKDE",42851,500,50,1,NA,26.9433,1163.46762,0.226236820220947,0.54914981209872,60.8994956391611,66.02884,6595.10928
12,"BGMM",42851,500,50,1,7,26.9433,1163.46762,22.682657957077,0.218349445175729,13.2641363098762,35.69586,2041.19026
12,"DPMM",42851,500,50,1,1,26.9433,1163.46762,1.85055208206177,0.238307492359402,16.3361540441748,44.6139866528852,5510.27629969239
12,"NetC14",42851,500,50,1,10,26.9433,1163.46762,5.0216429233551,0.410306290016877,29.919518186252,50.93638,4021.21606
12,"SPD",42851,500,50,1,NA,26.9433,1163.46762,0.000215053558349609,0.648378536720311,69.44749760204,88.52988,11943.99776
13,"CKDE",47296,500,50,1,NA,53.47474,4568.45726,0.248444080352783,0.552757025236881,376.564969774743,162.62088,32071.08792
13,"BGMM",47296,500,50,1,6,53.47474,4568.45726,23.7438781261444,0.524431840934633,121.205986885201,129.4852,27722.43644
13,"DPMM",47296,500,50,1,1,53.47474,4568.45726,1.703782081604,0.184660429979834,27.8804650735737,83.3236794116626,12757.829774209
13,"NetC14",47296,500,50,1,5,53.47474,4568.45726,4.58618187904358,0.244419417534523,40.203046682498,79.66312,16222.00336
13,"SPD",47296,500,50,1,NA,53.47474,4568.45726,0.000232934951782227,0.606642110429108,161.77789374273,172.71984,45474.7206
14,"CKDE",43020,500,50,1,NA,32.6825,1665.93166,0.253075122833252,0.344277896064625,130.666980723277,49.5909,4151.44698
14,"BGMM",43020,500,50,1,9,32.6825,1665.93166,22.6209890842438,0.554422115572262,46.8137312664631,53.79532,4328.8916
14,"DPMM",43020,500,50,1,1,32.6825,1665.93166,1.73364782333374,0.418219176475821,27.3791812097245,36.1783047000916,2240.94390584575
14,"NetC14",43020,500,50,1,5,32.6825,1665.93166,4.88503909111023,0.343791638906896,28.8441569576257,42.7732,2707.54628
14,"SPD",43020,500,50,1,NA,32.6825,1665.93166,0.000238180160522461,0.461827819798048,53.4048519635903,77.51902,10993.69006
15,"CKDE",30302,500,50,1,NA,33.22356,1747.95476,0.233803987503052,0.513367470019873,66.3362300964063,152.5681,37821.63254
15,"BGMM",30302,500,50,1,7,33.22356,1747.95476,23.989981174469,0.267976418570883,21.3007420268076,48.62302,4172.20442
15,"DPMM",30302,500,50,1,2,33.22356,1747.95476,1.86207795143127,0.366914418341594,73.7333739519965,86.3341123553592,14862.3704731353
15,"NetC14",30302,500,50,1,8,33.22356,1747.95476,4.91457390785217,0.591493020378815,121.210555123229,138.10306,28688.61562
15,"SPD",30302,500,50,1,NA,33.22356,1747.95476,0.000173807144165039,0.666897173384636,155.328562704489,164.0002,41282.36932
16,"CKDE",8405,500,50,1,NA,30.49102,1509.65818,0.227260828018188,0.563416301709853,38.278835632485,77.32306,7588.60654
16,"BGMM",8405,500,50,1,6,30.49102,1509.65818,22.8249609470367,0.213013186866394,11.2772137509127,34.6893,2021.79482
16,"DPMM",8405,500,50,1,1,30.49102,1509.65818,2.00991606712341,0.108053939858604,5.80192496190308,74.1734109687397,6886.76525120293
16,"NetC14",8405,500,50,1,6,30.49102,1509.65818,4.51233983039856,0.102435866008097,8.69422666921167,35.05078,2013.13726
16,"SPD",8405,500,50,1,NA,30.49102,1509.65818,0.000187873840332031,0.471920825773662,63.5873603898311,76.6799,9471.01998
17,"CKDE",36277,500,50,1,NA,36.07712,2033.70248,0.255511999130249,0.538727009031504,94.1236608437542,84.68164,10487.91744
17,"BGMM",36277,500,50,1,8,36.07712,2033.70248,23.665755033493,0.507412752310315,55.5702869259411,78.56266,9487.66466
17,"DPMM",36277,500,50,1,2,36.07712,2033.70248,1.79817390441895,0.163629490948769,12.7994882810148,41.3893822985108,2927.9038528154
17,"NetC14",36277,500,50,1,9,36.07712,2033.70248,4.56064820289612,0.353193399030217,30.4519360691403,59.00456,5502.78972
17,"SPD",36277,500,50,1,NA,36.07712,2033.70248,0.000241994857788086,0.65130262303308,87.8159044479438,110.66612,17185.70844
18,"CKDE",43181,500,50,1,NA,23.02822,825.39482,0.235078096389771,0.668312800448776,95.8772881358645,251.24182,68495.49942
18,"BGMM",43181,500,50,1,9,23.02822,825.39482,23.5660109519958,0.290150739037193,11.8545324250748,27.65922,1297.7207
18,"DPMM",43181,500,50,1,1,23.02822,825.39482,1.76123809814453,0.848329826345582,169.918321343828,167.499222346681,35305.9436563007
18,"NetC14",43181,500,50,1,8,23.02822,825.39482,4.93515491485596,0.454721905300395,87.082727463608,102.30124,20067.8728
18,"SPD",43181,500,50,1,NA,23.02822,825.39482,0.000244855880737305,0.784691122999458,188.000989535963,196.09476,56255.7874
19,"CKDE",3019,500,50,1,NA,22.48986,791.30586,0.248919010162354,0.444064768902594,64.7620542528377,38.64894,2533.75538
19,"BGMM",3019,500,50,1,7,22.48986,791.30586,23.764533996582,0.20263765818911,10.9923556511421,26.7825,1157.57774
19,"DPMM",3019,500,50,1,1,22.48986,791.30586,1.93960285186768,0.127847225445195,7.17340622915153,23.8678233095312,931.25106013364
19,"NetC14",3019,500,50,1,4,22.48986,791.30586,4.94255900382996,0.26922555211093,15.8110584412598,28.56836,1330.74164
19,"SPD",3019,500,50,1,NA,22.48986,791.30586,0.000272989273071289,0.480132701853813,43.6412582490294,55.93944,4962.11328
20,"CKDE",32348,500,50,1,NA,20.0542,667.7916,0.247703075408936,0.50670500744175,29.1099812639908,242.484,59784.80176
20,"BGMM",32348,500,50,1,7,20.0542,667.7916,22.1159110069275,0.21353920694742,14.8684750465726,33.06926,2391.18358
20,"DPMM",32348,500,50,1,1,20.0542,667.7916,1.70836806297302,0.751735069341351,160.745395543683,164.984886220573,44551.9965550974
20,"NetC14",32348,500,50,1,4,20.0542,667.7916,5.6677520275116,0.980535704944786,283.466603602218,286.59566,106754.35302
20,"SPD",32348,500,50,1,NA,20.0542,667.7916,0.00017094612121582,0.83878721231835,222.805560120188,226.63598,71868.46026
21,"CKDE",29996,500,50,1,NA,39.18374,2372.02546,0.25587797164917,0.292770089944801,81.6869781682731,50.40758,4088.01474
21,"BGMM",29996,500,50,1,6,39.18374,2372.02546,23.2089409828186,0.543687221750144,29.6074806920185,35.44326,1941.41634
21,"DPMM",29996,500,50,1,1,39.18374,2372.02546,1.78072690963745,0.448798261036795,25.3096700428297,37.7176865742417,2280.96190370971
21,"NetC14",29996,500,50,1,5,39.18374,2372.02546,4.22309017181396,0.226808999013995,22.0724465686491,43.72298,3110.06266
21,"SPD",29996,500,50,1,NA,39.18374,2372.02546,0.000233888626098633,0.373821847425382,37.6457212160621,68.5254,7358.04388
22,"CKDE",4499,500,50,1,NA,31.23498,1533.30974,0.187229871749878,0.271563659491081,152.11306135976,40.3444,2733.06332
22,"BGMM",4499,500,50,1,7,31.23498,1533.30974,23.2382841110229,0.242778886733187,11.7875642692165,28.33786,1242.44546
22,"DPMM",4499,500,50,1,4,31.23498,1533.30974,1.82940697669983,0.281163576016768,12.3231506437366,29.9191611988534,1410.48428184863
22,"NetC14",4499,500,50,1,3,31.23498,1533.30974,4.89197611808777,0.0675710898386688,4.54501566144237,33.21748,1749.34568
22,"SPD",4499,500,50,1,NA,31.23498,1533.30974,0.000246047973632812,0.449788556021549,57.9516605182572,79.55644,10790.27636
23,"CKDE",15106,500,50,1,NA,49.04512,3769.73352,0.364015102386475,0.374043117773371,90.49516459181,66.33128,6647.6316
23,"BGMM",15106,500,50,1,7,49.04512,3769.73352,23.2457840442657,0.250999235168148,18.5973173752328,48.40228,3571.76572
23,"DPMM",15106,500,50,1,2,49.04512,3769.73352,2.10558700561523,0.120919657760488,10.5187011153973,50.8899780301906,4055.21261845576
23,"NetC14",15106,500,50,1,7,49.04512,3769.73352,4.93140602111816,0.112439206721406,12.7865430732059,50.6072,3998.42596
23,"SPD",15106,500,50,1,NA,49.04512,3769.73352,0.00018000602722168,0.407634747842498,49.2255425211687,79.6199,9402.45498
24,"CKDE",1361,500,50,1,NA,27.1141,1252.76078,0.227674961090088,0.403078930044268,230.09221711356,37.30342,2334.3061
24,"BGMM",1361,500,50,1,9,27.1141,1252.76078,24.1759090423584,0.0900969617207687,5.05183262956239,26.9895,1263.25514
24,"DPMM",1361,500,50,1,4,27.1141,1252.76078,1.94970512390137,0.135312306770993,6.08291151999744,30.7185196254839,1648.42391189929
24,"NetC14",1361,500,50,1,5,27.1141,1252.76078,4.87651586532593,0.265025092282011,17.984041047711,36.31486,2194.0713
24,"SPD",1361,500,50,1,NA,27.1141,1252.76078,0.00018000602722168,0.394759372247812,30.8773528391938,47.27344,3567.13352
25,"CKDE",39014,500,50,1,NA,25.29078,1019.57134,0.228616952896118,0.504576756038892,37.9044781175513,54.54148,4737.78224
25,"BGMM",39014,500,50,1,9,25.29078,1019.57134,23.2169389724731,0.413940062075649,20.407497881274,28.75334,1287.45618
25,"DPMM",39014,500,50,1,1,25.29078,1019.57134,2.01598882675171,0.0776385175211024,4.71030703188968,28.9163150739437,1481.96327328453
