site,id,c14_age,c14_error
Actun Halal,PLD-28979,2695,20
Actun Halal,PSUAMS-5868,2490,50
Actun Halal,Beta-221899,2410,60
Actun Halal,PSUAMS-5869,1720,50
Actun Tunichil Muknal,AA57316,1191,31
Actun Uayazba Kab,UCIAMS-179816,2075,15
Actun Uayazba Kab,UCIAMS-179820,2065,15
Actun Uayazba Kab,UCIAMS-179818,2055,15
Actun Uayazba Kab,UCIAMS-179817,2010,15
Actun Uayazba Kab,UCIAMS-179819,1915,15
Actun Uayazba Kab,UCIAMS-167260,1245,20
Actun Uayazba Kab,UCIAMS-179821,1200,15
Actuncan,UCIAMS-116846,2835,20
Actuncan,NA,2405,20
Actuncan,NA,2235,20
Actuncan,NA,2210,20
Actuncan,NA,2200,20
Actuncan,NA,2120,20
Actuncan,NA,2105,20
Actuncan,NA,2060,25
Actuncan,NA,1870,15
Actuncan,AA-31355,1175,60
Baking Pot,UCIAMS-132235,2290,20
Baking Pot,UCIAMS-132231,1945,20
Baking Pot,UCIAMS-132227,1805,25
Baking Pot,UCIAMS-132234,1510,20
Baking Pot,UCIAMS-132229,1335,25
Baking Pot,UCIAMS-132232,1330,20
Baking Pot,UCIAMS-132228,1325,20
Baking Pot,UCIAMS-132226,1315,20
Baking Pot,UCIAMS-132230,1305,25
Baking Pot,UCIAMS-132236,650,20
Baking Pot,UCIAMS-132233,650,20
Baking Pot,UCIAMS-127393,565,20
Blackman Eddy,Beta-162573,2800,40
Blackman Eddy,Beta-159142,2750,40
Blackman Eddy,Beta-122282,2730,50
Blackman Eddy,Beta-122279,2500,50
Blackman Eddy,Beta-103959,2480,50
Blackman Eddy,Beta-162570,2460,40
Blackman Eddy,Beta-159144,2450,40
Blackman Eddy,Beta-159146,2430,40
Blackman Eddy,Beta-162571,2420,40
Blackman Eddy,Beta-229800,2400,40
Blackman Eddy,Beta-229801,2380,40
Blackman Eddy,Beta-162572,2340,60
Blackman Eddy,Beta-159145,2240,40
Buenavista del Cayo,Isotopes-16332,1740,60
Buenavista del Cayo,Beta-38376,1690,50
Buenavista del Cayo,Beta-156324,1500,50
Buenavista del Cayo,Isotopes-I-16269,1430,60
Buenavista del Cayo,Beta-94442,1400,50
Buenavista del Cayo,Beta-156305,1320,30
Buenavista del Cayo,Beta-445404,1310,30
Buenavista del Cayo,Beta-38378,1300,60
Buenavista del Cayo,Beta-445411,1280,30
Buenavista del Cayo,Beta-445405,1270,30
Buenavista del Cayo,Beta-355308,1250,30
Buenavista del Cayo,Beta-445412,1240,30
Buenavista del Cayo,Beta-304394,1220,30
Buenavista del Cayo,Beta-156306,1180,50
Cahal Pech,UCIAMS-111162,2845,20
Cahal Pech,UCIAMS-172403,2835,20
Cahal Pech,UCIAMS-111158,2830,15
Cahal Pech,UCIAMS-169816,2820,15
Cahal Pech,Beta-77205,2800,50
Cahal Pech,UCIAMS-169817,2800,20
Cahal Pech,UCIAMS-169815,2760,20
Cahal Pech,Beta-40865,2740,70
Cahal Pech,UCIAMS-115024,2735,20
Cahal Pech,Beta-40864,2720,60
Cahal Pech,Beta-77204,2710,120
Cahal Pech,UCIAMS-115022,2705,15
Cahal Pech,UCIAMS-115023,2585,15
Cahal Pech,UCIAMS-172405,2530,20
Cahal Pech,UCIAMS-169814,2525,15
Cahal Pech,UCIAMS-111159,2505,15
Cahal Pech,UCIAMS-172404,2500,20
Cahal Pech,Beta-40863,2470,90
Cahal Pech,UCIAMS-111161,2435,20
Cahal Pech,UCIAMS-151863,2415,25
Cahal Pech,Beta-77201,2370,60
Cahal Pech,Beta-77203,2230,50
Cahal Pech,UCIAMS-115021,2225,15
Cahal Pech,Beta-77199,2220,100
Cahal Pech,UCIAMS-111160,2220,15
Cahal Pech,UCIAMS-164873,2175,15
Cahal Pech,UCIAMS-121552,2150,20
Cahal Pech,UCIAMS-167921,2095,20
Cahal Pech,UCIAMS-164878,2085,20
Cahal Pech,UCIAMS-167920,2085,20
Cahal Pech,UCIAMS-164875,2070,15
Cahal Pech,UCIAMS-169813,2035,15
Cahal Pech,Beta-77202,2020,140
Cahal Pech,UCIAMS-169809,2020,15
Cahal Pech,Beta-77206,1950,200
Cahal Pech,UCIAMS-151861,1935,25
Cahal Pech,UCIAMS-164872,1920,15
Cahal Pech,UCIAMS-164871,1890,15
Cahal Pech,UCIAMS-164869,1880,15
Cahal Pech,UCIAMS-164851,1860,20
Cahal Pech,UCIAMS-170054,1790,20
Cahal Pech,UCIAMS-123530,1770,15
Cahal Pech,UCIAMS-164876,1765,15
Cahal Pech,UCIAMS-166058,1765,15
Cahal Pech,AA103357,1748,47
Cahal Pech,X27037,1748,59
Cahal Pech,UCIAMS-172402,1610,20
Cahal Pech,UCIAMS-121551,1595,15
Cahal Pech,UCIAMS-166056,1590,15
Cahal Pech,UCIAMS-166057,1580,15
Cahal Pech,UCIAMS-174958,1565,15
Cahal Pech,UCIAMS-121553,1555,15
Cahal Pech,UCIAMS-166049,1550,15
Cahal Pech,UCIAMS-123531,1545,15
Cahal Pech,UCIAMS-164842,1545,15
Cahal Pech,UCIAMS-170057,1525,20
Cahal Pech,UCIAMS-164850,1520,15
Cahal Pech,AA103356,1516,39
Cahal Pech,X27036,1516,59
Cahal Pech,UCIAMS-170060,1515,20
Cahal Pech,UCIAMS-164847,1515,15
Cahal Pech,UCIAMS-164868,1505,20
Cahal Pech,UCIAMS-150915,1490,20
Cahal Pech,UCIAMS-164849,1470,15
Cahal Pech,UCIAMS-164843,1465,20
Cahal Pech,UCIAMS-170059,1440,20
Cahal Pech,AA103355,1432,46
Cahal Pech,X27035,1432,31
Cahal Pech,UCIAMS-164866,1425,15
Cahal Pech,UCIAMS-151862,1415,25
Cahal Pech,UCIAMS-164853,1415,15
Cahal Pech,UCIAMS-170058,1415,20
Cahal Pech,UCIAMS-164848,1415,15
Cahal Pech,UCIAMS-121554,1365,15
Cahal Pech,UCIAMS-164867,1345,20
Cahal Pech,X27038,1336,46
Cahal Pech,UCIAMS-164846,1335,20
Cahal Pech,UCIAMS-166055,1325,15
Cahal Pech,UCIAMS-169818,1320,15
Cahal Pech,UCIAMS-164844,1315,15
Cahal Pech,UCIAMS-166054,1310,15
Cahal Pech,UCIAMS-166051,1300,15
Cahal Pech,UCIAMS-167924,1285,20
Cahal Pech,UCIAMS-151860,1280,25
Cahal Pech,UCIAMS-170055,1270,20
Cahal Pech,UCIAMS-123532,1255,15
Cahal Pech,UCIAMS-121549,1245,20
Cahal Pech,UCIAMS-166053,1240,15
Cahal Pech,UCIAMS-164852,1235,15
Cahal Pech,UCIAMS-167923,1235,20
Cahal Pech,UCIAMS-155962,1230,15
Cahal Pech,UCIAMS-121550,1225,15
Cahal Pech,UCIAMS-166052,1215,15
Cahal Pech,UCIAMS-166048,1180,15
Cahal Pech,UCIAMS-170056,1175,20
Caledonia,RL-146,1520,120
Chaa Creek,CHC 10122,1365,70
Chaa Creek,CHC 10123,1285,75
Chan,Beta-256806,2540,40
Chan,Beta-256798,2480,40
Chan,Beta-256802,2460,40
Chan,Beta-278923,2440,40
Chan,Beta-256808,2290,40
Chan,Beta-256797,2270,40
Chan,Beta-256812,2250,40
Chan,Beta-256803,2210,40
Chan,Beta-256809,2200,40
Chan,Beta-256801,2180,40
Chan,Beta-278922,2050,40
Chan,Beta-256805,2040,40
Chan,Beta-256811,1980,40
Chan,Beta-256815,1770,40
Chan,Beta-278920,1610,40
Chan,Beta-278924,1550,40
Chan,AA103349,1536,48
Chan,Beta-278919,1510,40
Chan,Beta-278921,1420,40
Chan,AA103352,1391,38
Chan,Beta-278918,1350,40
Chan,AA103351,1334,47
Chan,AA103348,1315,47
Chan,AA103353,1294,45
Chan,X27034,1277,45
Chan,Beta-256813,1260,40
Chan,Beta-278917,1230,40
Chan,AA103354,1217,45
Chan,Beta-256804,1170,40
Chan,Beta-256810,1170,40
Chan,Beta-256814,1150,40
Chechem Ha Cave,AA57282,2847,34
Chechem Ha Cave,AA57277,2826,34
Chechem Ha Cave,AA57301,2517,37
Chechem Ha Cave,AA57300,2465,33
Chechem Ha Cave,AA57314,2309,37
Chechem Ha Cave,AA57313,2295,34
Chechem Ha Cave,AA57309,2275,34
Chechem Ha Cave,AA57276,2120,34
Chechem Ha Cave,AA57291,2096,33
Chechem Ha Cave,AA57275,1744,40
Chechem Ha Cave,AA57299,1716,36
Chechem Ha Cave,AA57289,1714,33
Chechem Ha Cave,AA59755,1696,36
Chechem Ha Cave,AA57272,1673,34
Chechem Ha Cave,Beta-170074,1660,40
Chechem Ha Cave,AA57271,1587,34
Chechem Ha Cave,Beta-56307,1270,50
Chechem Ha Cave,AA59753,1239,36
Chechem Ha Cave,AA57288,1210,31
Chechem Ha Cave,AA57293,1187,33
Las Ruinas de Arenal,Beta-94441,1700,60
Las Ruinas de Arenal,Beta-94445,1100,50
Lower Barton Creek,UCIAMS-167255,2465,20
Lower Barton Creek,UCIAMS-167258,2220,20
Lower Barton Creek,UCIAMS-167257,2150,20
Pacbitun,Beta-25377,2750,100
Pacbitun,Beta-25372,2720,170
Pacbitun,Beta-93778,2570,100
Pacbitun,Beta-93775,2570,100
Pacbitun,Beta-25378,2470,100
Pacbitun,TO-612,2470,100
Pacbitun,Beta-93773,2450,50
Pacbitun,Beta-93776,2400,60
Pacbitun,Beta-25374,2020,60
Pacbitun,Beta-25379,1980,80
Pacbitun,Beta-19859,1860,130
Pacbitun,Beta-25376,1790,80
Pacbitun,TO-614,1790,40
Pacbitun,Beta-25380,1650,70
Pacbitun,TO-613,1610,40
Pacbitun,TO-611,1530,40
Pacbitun,Beta-25373,1520,70
Pacbitun,TO-610,1480,40
Pacbitun,TO-608,1430,40
Pacbitun,TO-695,1390,50
Pacbitun,TO-609,1330,40
Pacbitun,TO-607,1090,40
San Lorenzo,AA22846,1270,45
San Lorenzo,10121,1245,70
San Lorenzo,AA22844,1240,45
San Lorenzo,AA22849,1225,45
San Lorenzo,9373,1215,75
San Lorenzo,AA22845,1195,40
San Lorenzo,AA22842,1175,70
San Lorenzo,AA22848,1170,60
Xunantunich,X-10124,1445,90
Xunantunich,AA31357,1420,55
Xunantunich,AA31356,1405,55
Xunantunich,AA31358,1360,50
Xunantunich,AA22847,1300,55
Xunantunich,AA31359,1300,50
Xunantunich,AA22850,1290,45
Xunantunich,AA22841,1290,45
Xunantunich,AA22851,1230,45
Xunantunich,AA22843,1165,45
Xunantunich,9372,1095,75
Aguacatal,I-1069,1695,200
Aguacatal,I-1068,1645,140
Aguacatal,I-1070,1212,170
Becan,I-5029,1830,95
Becan,I-5030,1345,95
Becan,I-4287,1295,95
Becan,I-5028,1280,95
Becan,I-4286,1230,95
Chiapas/N Yucatan,I-6107,720,130
Chicanna,I-5026,1380,95
Chicanna,I-5024,1280,95
Chinkultic,UCLA-1617,990,70
Palenque,LTL12759A,1696,30
Palenque,O-639,1575,105
Palenque,H-639,1565,105
Palenque,O-641,1550,105
Palenque,H-641,1540,105
Palenque,O-397,1450,100
Palenque,H-397,1440,100
Palenque,O-396,1400,100
Palenque,H-396,1390,100
Copan,Beta-137374,2250,70
Copan,Beta-155206,2240,90
Copan,Beta-155203,2220,40
Copan,Beta-137132,2100,60
Copan,UCLA-1419,1700,110
Copan,UCLA-1420,1200,70
Copan,Beta-91487,1100,80
Copan,Beta-139616,1100,40
Copan,Beta-139614,1070,40
Copan,Beta-139615,1030,40
Copan,Beta-91488,1010,50
Copan,Beta-139617,980,40
Tulum,Y-393,880,60
San Gervasio,M-719B,480,200
Ceren,TX-6600,1520,70
Ceren,ELS-40,1440,135
Ceren,TX-6601,1350,90
El Gigante,Beta-159055,2280,40
El Gigante,Beta-171701,2010,40
El Gigante,Beta-156242,1970,70
El Gigante,Beta-171702,1930,60
La Canteada,UCLA-1992B,1700,125
La Canteada,UCLA-1992C,1050,220
Los Naranjos,GIF-1473,1700,100
Los Naranjos,GIF-1472,1530,100
Los Naranjos,GIF-1474,1500,100
Los Naranjos,GIF-1326,1260,90
Puerto Escondido,Beta-129135,2850,40
Puerto Escondido,Beta-129134,2830,40
Puerto Escondido,Beta-129126,2730,40
Puerto Escondido,Beta-129125,1530,40
Mexico/Guatemala,I-490,1425,120
Quirigua,P-3089,1970,50
Quirigua,P-3100,1970,50
Quirigua,P-3085,1830,170
Quirigua,P-3095,1800,50
Quirigua,P-3096,1730,50
Quirigua,P-2537,1580,190
Quirigua,P-2532,1490,50
Quirigua,P-3086,1450,50
Quirigua,P-3087,1440,40
Quirigua,P-2536,1400,50
Quirigua,P-3084,1310,40
Quirigua,P-3088,1290,40
Quirigua,P-2533,1150,50
Quirigua,P-2534,1140,50
Quirigua,P-2535,1130,180
Quirigua,P-2538,1100,170
Quirigua,P-3097,420,40
Balankanche,LJ-272,1090,200
Balankanche,LJ-273,1090,200
Chichen Itza,TBN-313-2,1350,70
Chichen Itza,TBN-313-3,1340,70
Chichen Itza,TBN-313-1,1170,70
Chichen Itza,Y-626,1169,70
Chichen Itza,LJ-87,1140,200
Chichen Itza,Beta-295911,1140,30
Ek Balam,Beta-228530,2460,40
Ek Balam,Beta-228529,2450,40
Ek Balam,Beta-230904,2310,40
Ek Balam,Beta-230905,2000,40
Xuenkal,AA86761,1214,41
Xuenkal,AA86758,1018,53
Xuenkal,AA86756,999,34
Xuenkal,AA86760,530,40
Xuenkal,AA86759,1222,70
Yaxuna,Beta-265025,2250,40
Isla Cancún,LJ-975,2580,130
Isla Cancún,LJ-GAP-68,2200,300
Isla Cancún,LJ-976,2080,150
Isla Cerritos,Beta-14084?,2040,80
Isla Cerritos,Beta-14081,1290,70
Isla Cerritos,Teledyne I-14244,1100,80
Isla Cerritos,Beta-14082,970,60
Isla Cerritos,Beta-14083,940,60
Aventura,UCLA-1938E,680,80
Caledonia,UCLA-1921F,1680,70
Altun Ha,P-1028,1544,62
Caye Coco,CAMS-64543,1160,50
Caye Coco,CAMS-62553,1070,50
Caye Coco,CAMS-64544,760,50
Cerros,SMU-774,2300,150
Cerros,SMU-904,2250,60
Cerros,SMU-775,2210,80
Cerros,SMU-881,2140,140
Cerros,Beta-188413,2060,60
Cerros,SMU-776,2010,40
Cerros,Beta-188415,2000,40
Cerros,Beta-188411,1960,40
Cerros,SMU-906,1960,60
Cerros,Beta-188412,1950,40
Cerros,Beta-188408,1920,40
Cerros,Beta-188406,1890,40
Chan Cahal,X27031,1536,59
Chan Cahal,X27028,1391,21
Chan Cahal,X27029,1334,46
Chan Cahal,X27030,1315,45
Chan Cahal,X27032,1294,44
Chan Cahal,X27033,1217,68
Chan Chen,UCLA-1921B,1865,55
Chan Chen,UCLA-1921D,1770,50
Chan Chen,UCLA-1921C,1580,60
Colhá,CAMS-8397,2780,60
Colhá,Tx-4060/4151,2680,50
Colhá,Tx-4062,2660,50
Colhá,TX-8295,2620,38
Colhá,Tx-6155,2600,70
Colhá,Tx-4061,2530,70
Colhá,Tx-3566,2530,50
Colhá,Tx-4152,2520,80
Colhá,Beta-8694,2510,80
Colhá,Tx-4467,2490,60
Colhá,Beta-8698,2480,110
Colhá,ML-8135-D,2347,58
Colhá,CAMS-263,2340,80
Colhá,CAMS-264,2310,10
Cuello,OxA-2166,2830,70
Cuello,Q-1903,2815,180
Cuello,Q-1918,2750,110
Cuello,Q-1917,2720,50
Cuello,OxA-1811,2700,90
Cuello,UCLA-2102E,2690,70
Cuello,AA-458,2650,130
Cuello,Q-1920,2595,60
Cuello,Q-1913,2560,40
Cuello,OxA-2017,2560,70
Cuello,Q-1914,2540,45
Cuello,LJ-4922,2520,70
Cuello,LJ-4923,2510,60
Cuello,LJ-4919,2490,70
Cuello,Q-1923,2480,60
Cuello,OxA-1810,2470,80
Cuello,Q-1912,2470,50
Cuello,LJ-4918,2470,70
Cuello,OxA-1653,2460,70
Cuello,Q-1911,2455,45
Cuello,Q-1902,2440,70
Cuello,LJ-4920,2420,70
Cuello,Q-1909,2420,45
Cuello,LJ-4917,2420,60
Cuello,Q-1928,2400,69
Cuello,Q-1924,2400,60
Cuello,OxA-362,2390,90
Cuello,OxA-2016,2390,70
Cuello,Q-1925,2380,60
Cuello,Q-1901,2375,150
Cuello,Q-1926,2325,60
Cuello,Q-1907,2315,50
Cuello,Q-1915,2305,45
Cuello,Q-1922,2300,70
Cuello,Q-1927,2290,60
Cuello,Q-3199,2280,55
Cuello,Q-3197,2275,50
Cuello,Q-3208,2265,36
Cuello,Q-3200,2260,45
Cuello,Q-2198,2255,55
Cuello,Q-3211,2250,50
Cuello,Q-1910,2250,45
