"wd_netc","mae_netc","wd_spd","mae_spd","n_years","n_samples","n_clusters","tau","w_prec"
32.0994467817112,65.023,29.0313978976226,61.03684,499,50,3,0.5,1
31.3157092823499,61.82848,42.1374176941945,71.91944,1999,50,3,0.5,1
147.576225045491,110.09664,130.663537255701,118.15742,4999,50,3,0.5,1
80.5336002496782,132.14512,47.1150886199676,169.199392,499,250,3,0.5,1
88.658080873913,121.141416,62.6305337054395,122.230444,1999,250,3,0.5,1
55.8857572753074,57.90334,64.4529717932996,58.160368,4999,250,3,0.5,1
19.9695434055639,50.2424536,29.6245215065136,58.7285136,499,1250,3,0.5,1
70.5739905807145,74.5665304,60.2525757388265,100.2805936,1999,1250,3,0.5,1
86.2696278148157,75.324184,20.3350410865919,77.2676512,4999,1250,3,0.5,1
20.6260088184041,34.40514,22.0250807991136,37.21344,499,50,6,0.5,1
56.6885294360832,120.47794,68.9647813115425,133.65124,1999,50,6,0.5,1
248.551254995573,258.20708,236.648205892421,286.74816,4999,50,6,0.5,1
22.6042416383553,109.913548,30.3579588580494,117.167724,499,250,6,0.5,1
56.5463212889806,245.087808,67.8425695041157,271.007668,1999,250,6,0.5,1
107.649071971306,54.5677,197.315709975516,55.09418,4999,250,6,0.5,1
9.62108690413659,75.0824512,16.7008135044862,81.7317416,499,1250,6,0.5,1
41.8892122805734,138.1976784,47.2394374564118,160.2670928,1999,1250,6,0.5,1
76.8448393625489,74.7620808,21.7674135119785,76.3316808,4999,1250,6,0.5,1
46.3364685729352,64.96676,35.6907465637627,72.79278,499,50,9,0.5,1
85.9364616303881,54.24708,141.188135401275,55.70826,1999,50,9,0.5,1
106.772057359786,125.06174,186.114242677092,148.90988,4999,50,9,0.5,1
7.66358837575999,38.493788,9.50011116350237,40.178572,499,250,9,0.5,1
48.7858638882371,139.171296,71.8490795420499,148.466428,1999,250,9,0.5,1
75.2924917762736,86.010916,75.674339093173,86.9166,4999,250,9,0.5,1
9.12817565848001,47.7951824,11.0790516795511,51.5244768,499,1250,9,0.5,1
40.1413988910615,128.4410032,23.222234773371,139.6408248,1999,1250,9,0.5,1
77.3060425886648,154.0547432,71.622952169785,160.3914256,4999,1250,9,0.5,1
25.300835506827,50.38194,28.2049979338017,56.56956,499,50,3,1,1
168.922415466797,236.17504,127.314105155028,265.13232,1999,50,3,1,1
188.951213570308,89.24024,178.457575370153,99.1233,4999,50,3,1,1
45.9076954202125,106.552916,52.2613156869009,137.65318,499,250,3,1,1
49.1956373961954,45.149732,36.4680720805431,52.098088,1999,250,3,1,1
67.5184976513362,67.798072,47.2935328820568,75.039,4999,250,3,1,1
10.5356478665877,32.7899192,23.5253718803836,43.0716224,499,1250,3,1,1
18.5722344607366,60.6125432,39.5702646171208,78.4310864,1999,1250,3,1,1
24.4711981836549,97.538484,35.0457176163779,102.8514648,4999,1250,3,1,1
25.912583459999,96.85374,28.7524189514346,111.65906,499,50,6,1,1
50.9344542772921,50.25874,59.6096889923532,53.31168,1999,50,6,1,1
230.339437141421,189.1037,254.748481106969,199.14316,4999,50,6,1,1
20.2821412110229,43.777728,29.183077408211,51.8978,499,250,6,1,1
33.8801915190745,86.420996,31.095250927027,91.370012,1999,250,6,1,1
82.0463242180955,167.559604,84.3376216695988,180.1684,4999,250,6,1,1
11.7237861191047,68.1956408,21.6432957333661,77.121644,499,1250,6,1,1
30.7708591319984,164.1422912,66.4892204205802,196.2442824,1999,1250,6,1,1
42.0690590966674,90.3158872,42.7813571877388,96.3134888,4999,1250,6,1,1
48.0663447967346,141.755,15.2307631185423,133.99952,499,50,9,1,1
103.028889107036,106.44852,103.691355631812,118.3184,1999,50,9,1,1
140.532111278681,150.47902,132.00656657789,156.46228,4999,50,9,1,1
13.6614431373823,57.327148,10.1562057301639,61.19766,499,250,9,1,1
21.9447291474254,94.320388,30.668117671183,102.104424,1999,250,9,1,1
226.244334284403,212.84012,231.463810782549,227.485084,4999,250,9,1,1
15.1924961750188,109.9320472,35.5941689949563,128.4805224,499,1250,9,1,1
19.1537860542606,117.9979416,33.2080243600282,129.9192792,1999,1250,9,1,1
83.6744307915423,84.4702744,67.7316393596425,88.90576,4999,1250,9,1,1
20.667319593386,76.66736,20.9810076924732,82.78602,499,50,3,3,1
32.5245991879269,40.56828,30.0326111222831,43.56178,1999,50,3,3,1
188.068641519365,91.39636,179.80130657884,105.95746,4999,50,3,3,1
32.6182443968214,109.68244,54.8036588110401,124.4864,499,250,3,3,1
83.2547011167131,228.233188,121.923888937274,262.718476,1999,250,3,3,1
80.631996788466,101.595388,121.442836536417,134.569388,4999,250,3,3,1
17.4520114285627,43.6438688,26.9825327059602,52.931988,499,1250,3,3,1
20.6849303122791,112.6294792,78.4608934921937,157.2371248,1999,1250,3,3,1
58.0025888640711,60.6469736,48.4449184216207,61.6285888,4999,1250,3,3,1
92.2522727617675,158.39096,35.7008040263108,172.76854,499,50,6,3,1
93.6062425785402,74.3665,102.289997325682,81.0789,1999,50,6,3,1
110.443243354913,267.27884,79.2368230511323,324.41612,4999,50,6,3,1
10.6670025279103,49.34346,11.9242293756353,52.116832,499,250,6,3,1
61.8702765996999,181.725592,132.986747113672,261.150328,1999,250,6,3,1
123.580853020538,110.322388,98.688090361367,114.042208,4999,250,6,3,1
18.4806079492809,101.7199136,47.1049533129709,137.1523712,499,1250,6,3,1
51.2948508049105,208.2896496,91.8526953990839,235.4143856,1999,1250,6,3,1
61.6842080370627,165.3156168,39.1160558847573,176.2063416,4999,1250,6,3,1
56.8261061689875,109.60936,32.6820536133606,117.07932,499,50,9,3,1
65.743136068902,129.98672,60.8638548479477,135.00322,1999,50,9,3,1
177.700640789819,75.0361,164.730987698025,76.41514,4999,50,9,3,1
8.48974715270698,47.168376,10.4011189851145,50.993288,499,250,9,3,1
33.5255217403787,93.58434,41.1981920766824,98.155656,1999,250,9,3,1
70.7332408788079,81.607864,72.6360416092438,84.266036,4999,250,9,3,1
44.6770364252131,117.029624,31.9556576525931,118.5947064,499,1250,9,3,1
23.111086986054,104.5733104,26.5985464329336,109.1428968,1999,1250,9,3,1
77.4119659560115,86.6675256,27.53166902232,88.2165984,4999,1250,9,3,1
22.903937763563,59.22686,27.8149660418122,70.32896,499,50,3,0.5,3
61.8567788746752,73.58502,66.7764846663486,88.25826,1999,50,3,0.5,3
133.738248116211,145.35564,180.864546381277,154.97234,4999,50,3,0.5,3
21.7645583744765,51.390228,30.8802550092176,60.970328,499,250,3,0.5,3
41.2836976791907,78.944876,47.5259471276522,87.373388,1999,250,3,0.5,3
37.0229025680329,50.023264,44.5926894081496,51.997216,4999,250,3,0.5,3
14.3417726628328,47.3160264,26.4073942700331,56.2280248,499,1250,3,0.5,3
42.8339821529586,138.6946728,94.8490981159029,187.2684512,1999,1250,3,0.5,3
35.3792821531077,102.2431672,28.0210952791105,107.7366632,4999,1250,3,0.5,3
14.8880672173791,83.13302,27.8152872982958,98.04634,499,50,6,0.5,3
132.371858284651,96.28286,133.408586187639,107.63018,1999,50,6,0.5,3
141.88618461611,90.10404,170.050341825389,93.39756,4999,50,6,0.5,3
13.471604532749,70.430712,15.0695935860327,74.973596,499,250,6,0.5,3
121.874889586234,164.6585,116.841360348743,185.021096,1999,250,6,0.5,3
154.041515871274,88.728252,39.2415792355823,91.83406,4999,250,6,0.5,3
13.9225662104822,58.2399624,10.3984009421119,61.9189824,499,1250,6,0.5,3
35.2195003185504,126.684412,24.7624745975586,134.2978064,1999,1250,6,0.5,3
99.7933311777647,163.1230672,40.3021571701651,171.9652592,4999,1250,6,0.5,3
13.2809433193956,36.0531,23.4860353214434,42.87866,499,50,9,0.5,3
39.6631135014368,58.5923,46.792376945942,59.7689,1999,50,9,0.5,3
385.968101714109,194.74692,320.025855630242,201.26344,4999,50,9,0.5,3
24.8566124577121,96.968224,18.1520599604226,108.61878,499,250,9,0.5,3
49.1289307116947,58.250004,41.3311578119266,60.604296,1999,250,9,0.5,3
59.0364126579536,106.001028,43.4056529806702,106.901216,4999,250,9,0.5,3
12.661886648027,50.4447112,11.5573002862,53.4002552,499,1250,9,0.5,3
29.6028529297118,92.8414192,17.8898187644351,97.7024288,1999,1250,9,0.5,3
40.0766265830188,143.1272376,56.0111461455456,154.1489512,4999,1250,9,0.5,3
109.902037223758,124.55724,63.1800749836978,144.19626,499,50,3,1,3
63.7081896010925,63.39732,45.8158692440942,77.58978,1999,50,3,1,3
70.7057836915573,165.752,99.7860908226738,202.58382,4999,50,3,1,3
32.0498895050549,95.4185,57.5258128962133,114.853784,499,250,3,1,3
56.2542964080468,118.833672,41.0020315548684,127.644796,1999,250,3,1,3
59.802538312097,84.975192,65.0406462970727,89.074896,4999,250,3,1,3
14.75096949365,45.0628328,32.5403781946165,62.0817648,499,1250,3,1,3
40.5612028938908,39.6815136,47.2568257366703,41.6621968,1999,1250,3,1,3
49.685151175833,142.192244,62.153653279076,152.6977048,4999,1250,3,1,3
62.3628542956692,102.47386,33.9904094583184,124.13146,499,50,6,1,3
60.8045374352579,90.75052,65.4594495208809,89.5007,1999,50,6,1,3
155.551711489949,106.31232,177.455896428962,99.0357,4999,50,6,1,3
15.0445342301924,76.429912,20.6944073921329,84.895392,499,250,6,1,3
38.2829069125026,67.346084,42.2455210621129,70.241912,1999,250,6,1,3
114.751513280211,66.878088,77.9319491350852,68.500844,4999,250,6,1,3
31.2248035334951,74.8622336,26.4782735027408,79.2544336,499,1250,6,1,3
62.0323972798524,77.6312904,30.1255265341543,81.3915408,1999,1250,6,1,3
79.3692775110064,176.4974416,59.7981188709173,193.5433392,4999,1250,6,1,3
13.2300985280144,55.23416,17.7461130989824,57.60938,499,50,9,1,3
41.8947968034466,85.6021,49.9296394728389,90.62858,1999,50,9,1,3
100.716438242641,172.40222,96.2087611594186,197.71074,4999,50,9,1,3
14.5171228555908,82.878276,15.7636834765896,87.350188,499,250,9,1,3
35.7424788428739,79.720504,29.380286016499,83.419564,1999,250,9,1,3
88.7841057750559,143.715808,139.025396705333,148.394764,4999,250,9,1,3
7.88814429891112,82.95496,8.77577460441401,88.5093776,499,1250,9,1,3
33.1361722073466,71.2533568,22.7750567973715,73.7147552,1999,1250,9,1,3
48.1442193496452,88.3010984,90.8902493106104,94.1119272,4999,1250,9,1,3
28.9434551726856,59.78432,31.1877518483072,66.40128,499,50,3,3,3
74.9178017105767,105.54718,108.637272523981,144.37278,1999,50,3,3,3
160.43592190621,55.29782,147.879316860883,57.80342,4999,50,3,3,3
26.1985070627414,66.87828,42.3065374354521,77.95568,499,250,3,3,3
31.8419605111319,101.068464,83.4184170532518,146.38168,1999,250,3,3,3
82.5712126324154,76.005836,106.240948727088,78.812244,4999,250,3,3,3
47.127782851533,86.7062632,69.9762350540555,138.2996824,499,1250,3,3,3
17.0953222330683,73.3906088,69.5956291842145,119.7985624,1999,1250,3,3,3
109.926524843791,94.0394856,70.5036411285229,100.6555952,4999,1250,3,3,3
23.6190028630612,92.18766,23.7019326430618,101.2597,499,50,6,3,3
97.4450143402738,80.15166,109.892625048607,91.30508,1999,50,6,3,3
152.534008617125,137.31794,142.205710682739,135.65348,4999,50,6,3,3
11.1320049020353,40.61304,12.7355706900153,43.639312,499,250,6,3,3
24.1662391730557,80.37308,29.582962760298,85.072148,1999,250,6,3,3
96.8233052007284,62.12326,80.5035007719345,63.499196,4999,250,6,3,3
22.9830413773827,67.322476,19.3657603636772,72.9135544,499,1250,6,3,3
20.350735704905,95.5886744,20.5354616031007,99.856856,1999,1250,6,3,3
33.0461587564317,176.3663176,45.8462030814573,191.361712,4999,1250,6,3,3
22.7809709583733,89.18082,19.9903333310333,97.22168,499,50,9,3,3
47.7066591727173,104.8539,34.4803188768542,117.03306,1999,50,9,3,3
89.203368947099,223.53508,66.121833852191,237.7907,4999,50,9,3,3
24.4863215834373,76.064168,42.9689204115501,83.740272,499,250,9,3,3
97.1983842947705,260.448832,72.2444814665193,297.762528,1999,250,9,3,3
63.9676327193085,179.8054,94.1912763674409,195.942372,4999,250,9,3,3
5.64161382940046,62.3708016,7.93416193111503,66.489044,499,1250,9,3,3
20.5233437430995,94.0108464,25.9828262059476,102.202168,1999,1250,9,3,3
29.5120337190302,87.174852,32.3437852354926,88.7412272,4999,1250,9,3,3
25.109224622914,79.75426,61.8288365261191,111.13164,499,50,3,0.5,5
63.7671883514059,73.88028,67.6189319625816,101.25274,1999,50,3,0.5,5
252.070287318837,156.45916,199.62195814037,162.31734,4999,50,3,0.5,5
17.0696757611874,30.667876,14.6049721022193,35.497816,499,250,3,0.5,5
31.3525254511932,62.582532,37.4735160051804,80.61128,1999,250,3,0.5,5
85.7404440150793,67.542532,106.520572809129,70.663208,4999,250,3,0.5,5
20.775989290567,70.790012,59.2850983591048,104.024636,499,1250,3,0.5,5
19.0932222974403,43.4875544,17.5911163108918,46.917888,1999,1250,3,0.5,5
78.6493061562641,241.1923328,102.698479462181,295.8841856,4999,1250,3,0.5,5
25.1192375919523,60.36404,29.1558440950327,66.24694,499,50,6,0.5,5
16.941537774741,83.01552,34.5485701467384,86.49754,1999,50,6,0.5,5
102.141784482681,148.59568,82.9345918499413,151.23754,4999,50,6,0.5,5
28.523239261794,80.788468,13.8166181049199,94.229672,499,250,6,0.5,5
50.1184014484251,74.90098,47.4343785498455,81.969928,1999,250,6,0.5,5
59.9263735526529,185.358792,60.2230210302571,197.492064,4999,250,6,0.5,5
18.602660914051,60.0310056,19.3541248063758,71.1762456,499,1250,6,0.5,5
37.5382569469485,97.0865304,57.9882982582098,116.4082472,1999,1250,6,0.5,5
90.8571092718324,126.5767904,29.149886267547,130.5044024,4999,1250,6,0.5,5
34.6609952552631,53.31932,28.030681557229,54.4126,499,50,9,0.5,5
118.095142608563,97.95314,72.0986158367917,105.71394,1999,50,9,0.5,5
247.910623547394,150.87638,454.276693178409,159.7891,4999,50,9,0.5,5
12.3259822712957,46.032384,15.4423949402139,49.6319,499,250,9,0.5,5
110.122996999711,306.578796,59.9413929565951,332.481628,1999,250,9,0.5,5
200.639787532414,117.2083,130.56328252327,119.09202,4999,250,9,0.5,5
7.11383750526677,50.234716,7.35452028088257,52.083584,499,1250,9,0.5,5
20.7665545117938,80.1913792,26.8971292410445,84.2465192,1999,1250,9,0.5,5
47.7936238426382,85.42462,29.0847818738661,87.1918952,4999,1250,9,0.5,5
18.1402904881921,42.08708,26.2305050970054,50.78788,499,50,3,1,5
38.1656132139506,90.59762,53.4973671944853,109.40432,1999,50,3,1,5
106.16063514707,79.72728,194.24648926855,85.52142,4999,50,3,1,5
17.6472614065585,84.426928,38.007593237846,100.772344,499,250,3,1,5
79.6057571201995,66.164892,52.8342501310379,77.884088,1999,250,3,1,5
77.0819963964856,64.23456,108.186739173294,64.694652,4999,250,3,1,5
23.3548378799414,97.6369344,53.7559777330403,118.8029168,499,1250,3,1,5
77.3209019283187,281.2971064,139.583203023326,332.5570456,1999,1250,3,1,5
35.043362967322,60.971036,55.886713855819,61.8980616,4999,1250,3,1,5
8.85088822080263,33.15346,9.38597344868466,37.78432,499,50,6,1,5
83.7654056244498,143.60618,93.541697881507,158.56188,1999,50,6,1,5
152.598794883207,93.05754,128.396624628165,94.82516,4999,50,6,1,5
17.3507599733506,73.706012,22.6112205525697,82.490572,499,250,6,1,5
78.969889568399,76.910792,63.008025957353,82.736504,1999,250,6,1,5
64.5071685816213,89.461196,94.7249322128303,90.652372,4999,250,6,1,5
14.4694590501944,109.6123064,34.3098243295943,122.7642504,499,1250,6,1,5
15.6548084902034,73.1262488,25.3123941201975,79.0712344,1999,1250,6,1,5
55.1236072992041,109.7620968,46.2783504845056,114.9601536,4999,1250,6,1,5
73.7616552202305,164.71586,21.6424725446663,152.70262,499,50,9,1,5
62.8934229551894,54.28878,66.9887729604053,58.5563,1999,50,9,1,5
174.826108069398,87.50146,177.496163796756,89.30134,4999,50,9,1,5
19.1823047634095,80.868388,10.4985761222905,85.12622,499,250,9,1,5
43.1956819451271,73.127168,41.2303325406404,78.0874,1999,250,9,1,5
44.7741588607266,190.752568,69.1289479673147,199.613408,4999,250,9,1,5
7.79891904724067,49.165696,9.52364008390442,50.6594872,499,1250,9,1,5
20.4445017304662,44.928048,11.1385880269258,45.6534736,1999,1250,9,1,5
51.5099090505755,112.3950656,36.1486881959036,119.0909264,4999,1250,9,1,5
20.6386573765353,38.44536,21.6318561884306,45.35866,499,50,3,3,5
60.813296075188,50.99466,58.33686161546,51.99866,1999,50,3,3,5
