"kld","mae","n_years","n_samples","n_clusters","tau","w_prec"
0.563411295935235,62.10504,499,50,3,4,0.5
0.0321098359822148,65.84226,2499,50,3,4,0.5
0.0587714774794841,111.62792,4999,50,3,4,0.5
1.38775842314035,133.417744,499,500,3,4,0.5
0.0443513699953536,113.180332,2499,500,3,4,0.5
0.00564557880644975,58.25691,4999,500,3,4,0.5
0.156117765690945,49.754948,499,1000,3,4,0.5
0.0123293454922873,71.783244,2499,1000,3,4,0.5
0.00832649085769596,76.825533,4999,1000,3,4,0.5
0.104264415392574,34.08602,499,50,6,4,0.5
0.152784064604443,135.37572,2499,50,6,4,0.5
0.276573833559687,256.67014,4999,50,6,4,0.5
0.201297350839677,107.675794,499,500,6,4,0.5
0.0543708150191577,269.00644,2499,500,6,4,0.5
0.0167683415881139,58.911478,4999,500,6,4,0.5
0.0973424797248964,73.951351,499,1000,6,4,0.5
0.0313089325913371,134.056527,2499,1000,6,4,0.5
0.00569179714624537,73.881234,4999,1000,6,4,0.5
0.555843512121696,65.33422,499,50,9,4,0.5
0.140750542197409,52.05638,2499,50,9,4,0.5
0.13845621429633,127.7284,4999,50,9,4,0.5
0.0210232388703031,37.224626,499,500,9,4,0.5
0.0204013618154701,130.809572,2499,500,9,4,0.5
0.0146046110799604,85.170002,4999,500,9,4,0.5
0.0611142859410123,48.669576,499,1000,9,4,0.5
0.0188434155147996,131.300661,2499,1000,9,4,0.5
0.0104132624817734,151.060721,4999,1000,9,4,0.5
0.389897270122401,50.53426,499,50,3,5,0.5
0.364632222011882,260.99338,2499,50,3,5,0.5
0.0528732076002492,91.77444,4999,50,3,5,0.5
0.256392542496605,104.417756,499,500,3,5,0.5
0.00771079097922437,50.340792,2499,500,3,5,0.5
0.00945148632294425,70.418768,4999,500,3,5,0.5
0.136059970537219,33.570526,499,1000,3,5,0.5
0.00434400246045657,77.46894,2499,1000,3,5,0.5
0.00691796003912772,96.33306,4999,1000,3,5,0.5
0.234457097655572,97.5799,499,50,6,5,0.5
0.0876766485522454,51.23744,2499,50,6,5,0.5
0.178847828464159,189.68138,4999,50,6,5,0.5
0.101160825215766,45.616742,499,500,6,5,0.5
