"dataset","source","site","id","c14_age","c14_error"
"Iron","Heaton2021",,"2352",1060,50
"Iron","Heaton2021",,"2824",1190,60
"Iron","Heaton2021",,"26",1190,75
"Iron","Heaton2021",,"23",1365,220
"Iron","Heaton2021",,"529",1430,130
"Iron","Heaton2021",,"2041",1450,50
"Iron","Heaton2021",,"513",1460,165
"Iron","Heaton2021",,"25",1465,65
"Iron","Heaton2021",,"522",1470,120
"Iron","Heaton2021",,"1528",1510,40
"Iron","Heaton2021",,"688",1515,30
"Iron","Heaton2021",,"514",1515,120
"Iron","Heaton2021",,"536",1520,100
"Iron","Heaton2021",,"2449",1520,55
"Iron","Heaton2021",,"1707",1530,70
"Iron","Heaton2021",,"2645",1533,34
"Iron","Heaton2021",,"2040",1538,39
"Iron","Heaton2021",,"2393",1540,60
"Iron","Heaton2021",,"2575",1542,31
"Iron","Heaton2021",,"1709",1550,60
"Iron","Heaton2021",,"676",1560,70
"Iron","Heaton2021",,"1018",1560,70
"Iron","Heaton2021",,"1708",1560,70
"Iron","Heaton2021",,"518",1565,105
"Iron","Heaton2021",,"532",1565,90
"Iron","Heaton2021",,"2872",1570,31
"Iron","Heaton2021",,"2534",1570,40
"Iron","Heaton2021",,"2842",1570,40
"Iron","Heaton2021",,"1407",1580,35
"Iron","Heaton2021",,"1835",1580,55
"Iron","Heaton2021",,"2523",1580,40
"Iron","Heaton2021",,"2538",1580,40
"Iron","Heaton2021",,"2552",1580,40
"Iron","Heaton2021",,"2539",1580,40
"Iron","Heaton2021",,"2525",1580,40
"Iron","Heaton2021",,"2522",1580,40
"Iron","Heaton2021",,"1540",1580,40
"Iron","Heaton2021",,"2524",1580,40
"Iron","Heaton2021",,"507",1585,70
"Iron","Heaton2021",,"2043",1587,38
"Iron","Heaton2021",,"1889",1588,23
"Iron","Heaton2021",,"2321",1590,60
"Iron","Heaton2021",,"2540",1590,40
"Iron","Heaton2021",,"1461",1590,40
"Iron","Heaton2021",,"535",1590,75
"Iron","Heaton2021",,"402",1595,70
"Iron","Heaton2021",,"2112",1595,35
"Iron","Heaton2021",,"2407",1600,40
"Iron","Heaton2021",,"2241",1600,50
"Iron","Heaton2021",,"1067",1600,40
"Iron","Heaton2021",,"2272",1600,80
"Iron","Heaton2021",,"2561",1600,60
"Iron","Heaton2021",,"373",1600,50
"Iron","Heaton2021",,"372",1600,65
"Iron","Heaton2021",,"718",1600,34
"Iron","Heaton2021",,"2640",1601,35
"Iron","Heaton2021",,"2044",1604,38
"Iron","Heaton2021",,"2418",1607,37
"Iron","Heaton2021",,"2859",1608,22
"Iron","Heaton2021",,"2404",1610,40
"Iron","Heaton2021",,"2839",1610,45
"Iron","Heaton2021",,"1537",1610,40
"Iron","Heaton2021",,"99",1610,60
"Iron","Heaton2021",,"515",1610,60
"Iron","Heaton2021",,"2471",1610,50
"Iron","Heaton2021",,"1138",1612,27
"Iron","Heaton2021",,"2556",1620,40
"Iron","Heaton2021",,"1064",1620,40
"Iron","Heaton2021",,"2042",1620,70
"Iron","Heaton2021",,"1066",1620,40
"Iron","Heaton2021",,"1422",1620,40
"Iron","Heaton2021",,"1762",1620,40
"Iron","Heaton2021",,"516",1620,130
"Iron","Heaton2021",,"1536",1621,35
"Iron","Heaton2021",,"2840",1625,40
"Iron","Heaton2021",,"2438",1625,90
"Iron","Heaton2021",,"2045",1628,39
"Iron","Heaton2021",,"719",1629,37
"Iron","Heaton2021",,"1593",1630,40
"Iron","Heaton2021",,"410",1630,130
"Iron","Heaton2021",,"1150",1630,40
"Iron","Heaton2021",,"800",1630,40
"Iron","Heaton2021",,"682",1630,80
"Iron","Heaton2021",,"2614",1631,20
"Iron","Heaton2021",,"2665",1635,38
"Iron","Heaton2021",,"414",1635,65
"Iron","Heaton2021",,"371",1635,65
"Iron","Heaton2021",,"1639",1638,21
"Iron","Heaton2021",,"962",1639,21
"Iron","Heaton2021",,"2410",1640,40
"Iron","Heaton2021",,"784",1640,40
"Iron","Heaton2021",,"966",1640,50
"Iron","Heaton2021",,"2243",1643,40
"Iron","Heaton2021",,"687",1645,25
"Iron","Heaton2021",,"2673",1645,35
"Iron","Heaton2021",,"2417",1647,33
"Iron","Heaton2021",,"1886",1649,21
"Iron","Heaton2021",,"1914",1650,40
"Iron","Heaton2021",,"1137",1650,40
"Iron","Heaton2021",,"2832",1652,31
"Iron","Heaton2021",,"1887",1653,29
"Iron","Heaton2021",,"2612",1654,21
"Iron","Heaton2021",,"684",1654,43
"Iron","Heaton2021",,"2490",1655,45
"Iron","Heaton2021",,"374",1660,80
"Iron","Heaton2021",,"2409",1660,40
"Iron","Heaton2021",,"2453",1660,40
"Iron","Heaton2021",,"675",1660,60
"Iron","Heaton2021",,"726",1660,60
"Iron","Heaton2021",,"1789",1666,30
"Iron","Heaton2021",,"1267",1669,29
"Iron","Heaton2021",,"1120",1670,55
"Iron","Heaton2021",,"413",1670,70
"Iron","Heaton2021",,"1774",1670,40
"Iron","Heaton2021",,"509",1670,50
"Iron","Heaton2021",,"2046",1674,38
"Iron","Heaton2021",,"1675",1674,23
"Iron","Heaton2021",,"29",1676,168
"Iron","Heaton2021",,"77",1677,45
"Iron","Heaton2021",,"694",1679,33
"Iron","Heaton2021",,"2870",1680,23
"Iron","Heaton2021",,"2240",1680,30
"Iron","Heaton2021",,"1814",1680,50
"Iron","Heaton2021",,"1737",1680,22
"Iron","Heaton2021",,"1317",1680,40
"Iron","Heaton2021",,"1538",1683,36
"Iron","Heaton2021",,"1883",1684,24
"Iron","Heaton2021",,"1539",1684,36
"Iron","Heaton2021",,"530",1685,70
"Iron","Heaton2021",,"394",1685,30
"Iron","Heaton2021",,"1079",1689,16
"Iron","Heaton2021",,"963",1689,15
"Iron","Heaton2021",,"2301",1690,55
"Iron","Heaton2021",,"407",1690,55
"Iron","Heaton2021",,"2854",1690,35
"Iron","Heaton2021",,"2551",1690,40
"Iron","Heaton2021",,"1702",1690,50
"Iron","Heaton2021",,"967",1690,50
"Iron","Heaton2021",,"709",1691,20
"Iron","Heaton2021",,"2802",1691,20
"Iron","Heaton2021",,"1735",1692,23
"Iron","Heaton2021",,"707",1692,20
"Iron","Heaton2021",,"964",1693,22
"Iron","Heaton2021",,"2234",1700,24
"Iron","Heaton2021",,"1705",1700,55
"Iron","Heaton2021",,"2557",1700,40
"Iron","Heaton2021",,"2254",1703,30
"Iron","Heaton2021",,"1878",1705,31
"Iron","Heaton2021",,"708",1707,20
"Iron","Heaton2021",,"2403",1710,50
"Iron","Heaton2021",,"2408",1710,40
"Iron","Heaton2021",,"412",1710,75
"Iron","Heaton2021",,"1436",1710,40
"Iron","Heaton2021",,"1746",1715,27
"Iron","Heaton2021",,"1322",1715,19
"Iron","Heaton2021",,"1888",1716,23
"Iron","Heaton2021",,"2394",1720,80
"Iron","Heaton2021",,"799",1720,40
"Iron","Heaton2021",,"208",1725,115
"Iron","Heaton2021",,"208",1725,115
"Iron","Heaton2021",,"202",1730,80
"Iron","Heaton2021",,"1986",1730,70
"Iron","Heaton2021",,"745",1730,31
"Iron","Heaton2021",,"1040",1736,33
"Iron","Heaton2021",,"1035",1736,32
"Iron","Heaton2021",,"1706",1737,41
"Iron","Heaton2021",,"345",1740,80
"Iron","Heaton2021",,"200",1740,100
"Iron","Heaton2021",,"2090",1740,35
"Iron","Heaton2021",,"1740",1744,38
"Iron","Heaton2021",,"1832",1747,33
"Iron","Heaton2021",,"2611",1750,20
"Iron","Heaton2021",,"723",1750,80
"Iron","Heaton2021",,"2245",1755,30
"Iron","Heaton2021",,"233",1755,90
"Iron","Heaton2021",,"717",1757,27
"Iron","Heaton2021",,"1630",1759,42
"Iron","Heaton2021",,"1676",1760,29
"Iron","Heaton2021",,"2437",1760,60
"Iron","Heaton2021",,"2320",1765,70
"Iron","Heaton2021",,"1568",1770,25
"Iron","Heaton2021",,"206",1770,65
"Iron","Heaton2021",,"205",1770,90
"Iron","Heaton2021",,"2057",1776,22
"Iron","Heaton2021",,"1604",1780,40
"Iron","Heaton2021",,"683",1781,35
"Iron","Heaton2021",,"2251",1785,30
"Iron","Heaton2021",,"2791",1785,230
"Iron","Heaton2021",,"383",1785,45
"Iron","Heaton2021",,"1626",1788,26
"Iron","Heaton2021",,"179",1790,40
"Iron","Heaton2021",,"1662",1790,40
"Iron","Heaton2021",,"1316",1790,50
"Iron","Heaton2021",,"2472",1790,80
"Iron","Heaton2021",,"353",1795,65
"Iron","Heaton2021",,"411",1795,20
"Iron","Heaton2021",,"1787",1796,23
"Iron","Heaton2021",,"175",1800,40
"Iron","Heaton2021",,"2458",1800,40
"Iron","Heaton2021",,"370",1800,55
"Iron","Heaton2021",,"1442",1800,40
"Iron","Heaton2021",,"22",1800,155
"Iron","Heaton2021",,"97",1800,80
"Iron","Heaton2021",,"786",1800,40
"Iron","Heaton2021",,"2469",1804,51
"Iron","Heaton2021",,"24",1805,75
"Iron","Heaton2021",,"1598",1810,40
"Iron","Heaton2021",,"1118",1820,50
"Iron","Heaton2021",,"406",1825,30
"Iron","Heaton2021",,"1751",1830,30
"Iron","Heaton2021",,"1558",1830,40
"Iron","Heaton2021",,"256",1830,50
"Iron","Heaton2021",,"2388",1830,60
"Iron","Heaton2021",,"701",1833,30
"Iron","Heaton2021",,"178",1835,40
"Iron","Heaton2021",,"329",1840,110
"Iron","Heaton2021",,"1080",1842,16
"Iron","Heaton2021",,"180",1845,85
"Iron","Heaton2021",,"2323",1847,45
"Iron","Heaton2021",,"1365",1850,40
"Iron","Heaton2021",,"734",1850,40
"Iron","Heaton2021",,"2454",1850,40
"Iron","Heaton2021",,"1836",1854,32
"Iron","Heaton2021",,"230",1855,50
"Iron","Heaton2021",,"2855",1855,35
"Iron","Heaton2021",,"2856",1855,35
"Iron","Heaton2021",,"645",1860,50
"Iron","Heaton2021",,"98",1860,80
"Iron","Heaton2021",,"197",1860,110
"Iron","Heaton2021",,"61",1860,80
"Iron","Heaton2021",,"70",1860,70
"Iron","Heaton2021",,"2324",1862,29
"Iron","Heaton2021",,"2289",1870,40
"Iron","Heaton2021",,"1038",1870,50
"Iron","Heaton2021",,"712",1872,22
"Iron","Heaton2021",,"1416",1873,21
"Iron","Heaton2021",,"1078",1875,50
"Iron","Heaton2021",,"2237",1880,30
"Iron","Heaton2021",,"15",1884,28
"Iron","Heaton2021",,"2208",1886,34
"Iron","Heaton2021",,"1077",1890,20
"Iron","Heaton2021",,"1070",1890,40
"Iron","Heaton2021",,"1556",1890,40
"Iron","Heaton2021",,"126",1890,130
"Iron","Heaton2021",,"1670",1896,33
"Iron","Heaton2021",,"703",1898,41
"Iron","Heaton2021",,"173",1900,50
"Iron","Heaton2021",,"2066",1900,35
"Iron","Heaton2021",,"556",1900,70
"Iron","Heaton2021",,"1629",1900,22
"Iron","Heaton2021",,"2050",1901,22
"Iron","Heaton2021",,"1668",1904,42
"Iron","Heaton2021",,"2051",1905,26
"Iron","Heaton2021",,"245",1905,75
"Iron","Heaton2021",,"702",1910,30
"Iron","Heaton2021",,"211",1910,130
"Iron","Heaton2021",,"2196",1911,30
"Iron","Heaton2021",,"650",1915,80
"Iron","Heaton2021",,"1541",1918,36
"Iron","Heaton2021",,"1752",1920,30
"Iron","Heaton2021",,"2183",1920,60
"Iron","Heaton2021",,"1403",1921,20
"Iron","Heaton2021",,"2258",1921,21
"Iron","Heaton2021",,"2610",1924,20
"Iron","Heaton2021",,"1364",1924,27
"Iron","Heaton2021",,"2491",1925,30
"Iron","Heaton2021",,"1371",1925,35
"Iron","Heaton2021",,"396",1925,100
"Iron","Heaton2021",,"2253",1927,27
"Iron","Heaton2021",,"78",1927,53
"Iron","Heaton2021",,"2516",1930,40
"Iron","Heaton2021",,"235",1930,85
"Iron","Heaton2021",,"1517",1932,29
"Iron","Heaton2021",,"681",1934,45
"Iron","Heaton2021",,"1807",1935,30
"Iron","Heaton2021",,"1671",1937,30
"Iron","Heaton2021",,"2054",1937,23
"Iron","Heaton2021",,"1855",1939,28
"Iron","Heaton2021",,"2242",1940,30
"Iron","Heaton2021",,"174",1940,70
"Iron","Heaton2021",,"287",1940,15
"Iron","Heaton2021",,"405",1940,70
"Iron","Heaton2021",,"2182",1940,70
"Iron","Heaton2021",,"705",1944,33
"Iron","Heaton2021",,"1393",1946,30
"Iron","Heaton2021",,"1326",1946,25
"Iron","Heaton2021",,"2852",1947,27
"Iron","Heaton2021",,"2858",1947,27
"Iron","Heaton2021",,"2520",1950,40
"Iron","Heaton2021",,"236",1950,80
"Iron","Heaton2021",,"2053",1953,23
"Iron","Heaton2021",,"1923",1955,20
"Iron","Heaton2021",,"1753",1960,30
"Iron","Heaton2021",,"2518",1960,40
"Iron","Heaton2021",,"369",1960,130
"Iron","Heaton2021",,"81",1960,66
"Iron","Heaton2021",,"1122",1960,39
"Iron","Heaton2021",,"1628",1961,23
"Iron","Heaton2021",,"1812",1962,22
"Iron","Heaton2021",,"2502",1963,35
"Iron","Heaton2021",,"2459",1963,34
"Iron","Heaton2021",,"1758",1965,40
"Iron","Heaton2021",,"1387",1965,30
"Iron","Heaton2021",,"254",1970,95
"Iron","Heaton2021",,"301",1970,40
"Iron","Heaton2021",,"634",1975,35
"Iron","Heaton2021",,"2267",1975,21
"Iron","Heaton2021",,"1273",1975,35
"Iron","Heaton2021",,"730",1975,80
"Iron","Heaton2021",,"631",1975,35
"Iron","Heaton2021",,"59",1976,60
"Iron","Heaton2021",,"582",1980,60
"Iron","Heaton2021",,"1597",1980,40
"Iron","Heaton2021",,"1034",1980,40
"Iron","Heaton2021",,"60",1980,80
"Iron","Heaton2021",,"2029",1984,31
"Iron","Heaton2021",,"2034",1987,42
"Iron","Heaton2021",,"2536",1990,40
"Iron","Heaton2021",,"1282",1990,60
"Iron","Heaton2021",,"1385",1990,40
"Iron","Heaton2021",,"257",1990,50
"Iron","Heaton2021",,"2851",1991,24
"Iron","Heaton2021",,"1530",1992,35
"Iron","Heaton2021",,"2811",1992,33
"Iron","Heaton2021",,"2340",1995,35
"Iron","Heaton2021",,"2300",1995,195
"Iron","Heaton2021",,"163",1996,81
"Iron","Heaton2021",,"2268",1997,26
"Iron","Heaton2021",,"2028",2000,44
"Iron","Heaton2021",,"1624",2000,20
"Iron","Heaton2021",,"2235",2000,23
"Iron","Heaton2021",,"93",2000,70
"Iron","Heaton2021",,"2211",2003,33
"Iron","Heaton2021",,"1830",2003,21
"Iron","Heaton2021",,"2069",2005,35
"Iron","Heaton2021",,"2181",2005,35
"Iron","Heaton2021",,"1644",2005,22
"Iron","Heaton2021",,"1741",2007,38
"Iron","Heaton2021",,"1173",2009,25
"Iron","Heaton2021",,"636",2010,35
"Iron","Heaton2021",,"1312",2010,40
"Iron","Heaton2021",,"1121",2010,44
"Iron","Heaton2021",,"71",2010,50
"Iron","Heaton2021",,"2616",2011,21
"Iron","Heaton2021",,"1645",2011,27
"Iron","Heaton2021",,"2280",2014,48
"Iron","Heaton2021",,"2067",2015,35
"Iron","Heaton2021",,"1404",2015,24
"Iron","Heaton2021",,"1384",2015,35
