"iter","model","start","n_years","n_samples","n_clusters","elapsed"
1,"CKDE",3972,3000,500,6,1.21101999282837
1,"BGMM",3972,3000,500,6,32.2001230716705
1,"DPMM",3972,3000,500,6,11.5573780536652
1,"NetC14",3972,3000,500,6,7.40324997901917
1,"SPD",3972,3000,500,6,0.0104401111602783
2,"CKDE",5646,3000,500,6,1.25439190864563
2,"BGMM",5646,3000,500,6,35.2756288051605
2,"DPMM",5646,3000,500,6,16.5101699829102
2,"NetC14",5646,3000,500,6,8.32286787033081
2,"SPD",5646,3000,500,6,0.00902009010314941
3,"CKDE",8432,3000,500,6,1.35084199905396
3,"BGMM",8432,3000,500,6,34.3722610473633
3,"DPMM",8432,3000,500,6,10.0282828807831
3,"NetC14",8432,3000,500,6,7.32558298110962
3,"SPD",8432,3000,500,6,0.0098259449005127
4,"CKDE",16987,3000,500,6,1.1382269859314
4,"BGMM",16987,3000,500,6,35.0973320007324
4,"DPMM",16987,3000,500,6,15.2739810943604
4,"NetC14",16987,3000,500,6,7.34688591957092
4,"SPD",16987,3000,500,6,0.00843691825866699
5,"CKDE",33263,3000,500,6,1.20093297958374
5,"BGMM",33263,3000,500,6,31.0317718982697
5,"DPMM",33263,3000,500,6,12.1501069068909
5,"NetC14",33263,3000,500,6,7.51579999923706
5,"SPD",33263,3000,500,6,0.00640392303466797
6,"CKDE",37334,3000,500,6,1.1286449432373
6,"BGMM",37334,3000,500,6,31.3469188213348
6,"DPMM",37334,3000,500,6,11.6834869384766
6,"NetC14",37334,3000,500,6,8.24161791801453
6,"SPD",37334,3000,500,6,0.00661087036132812
7,"CKDE",34407,3000,500,6,1.19108414649963
7,"BGMM",34407,3000,500,6,36.2639629840851
7,"DPMM",34407,3000,500,6,9.79786109924316
7,"NetC14",34407,3000,500,6,7.94962906837463
7,"SPD",34407,3000,500,6,0.00885510444641113
8,"CKDE",40216,3000,500,6,1.09270000457764
8,"BGMM",40216,3000,500,6,34.0772459506989
8,"DPMM",40216,3000,500,6,14.7731940746307
8,"NetC14",40216,3000,500,6,7.06371688842773
8,"SPD",40216,3000,500,6,0.00727009773254395
9,"CKDE",42177,3000,500,6,1.13269996643066
9,"BGMM",42177,3000,500,6,29.2234189510345
9,"DPMM",42177,3000,500,6,12.5059039592743
9,"NetC14",42177,3000,500,6,6.61090993881226
9,"SPD",42177,3000,500,6,0.00671100616455078
10,"CKDE",39958,3000,500,6,1.14291906356812
10,"BGMM",39958,3000,500,6,32.8614230155945
10,"DPMM",39958,3000,500,6,11.5468349456787
10,"NetC14",39958,3000,500,6,7.07596492767334
10,"SPD",39958,3000,500,6,0.00687694549560547
11,"CKDE",11272,3000,500,6,1.17522311210632
11,"BGMM",11272,3000,500,6,34.7374320030212
11,"DPMM",11272,3000,500,6,11.6407449245453
11,"NetC14",11272,3000,500,6,8.16268491744995
11,"SPD",11272,3000,500,6,0.0100209712982178
12,"CKDE",41482,3000,500,6,1.13875579833984
12,"BGMM",41482,3000,500,6,34.7891139984131
12,"DPMM",41482,3000,500,6,12.4592499732971
12,"NetC14",41482,3000,500,6,7.4661660194397
12,"SPD",41482,3000,500,6,0.00663495063781738
13,"CKDE",21847,3000,500,6,1.15861892700195
13,"BGMM",21847,3000,500,6,35.0740110874176
13,"DPMM",21847,3000,500,6,13.0397570133209
13,"NetC14",21847,3000,500,6,7.57580399513245
13,"SPD",21847,3000,500,6,0.00829505920410156
14,"CKDE",31281,3000,500,6,1.18151593208313
14,"BGMM",31281,3000,500,6,31.6360440254211
14,"DPMM",31281,3000,500,6,10.9367129802704
14,"NetC14",31281,3000,500,6,7.08282899856567
14,"SPD",31281,3000,500,6,0.00582599639892578
15,"CKDE",9604,3000,500,6,1.15854716300964
15,"BGMM",9604,3000,500,6,36.0570662021637
15,"DPMM",9604,3000,500,6,11.9561040401459
15,"NetC14",9604,3000,500,6,7.81740498542786
15,"SPD",9604,3000,500,6,0.00965404510498047
16,"CKDE",29399,3000,500,6,1.21004891395569
16,"BGMM",29399,3000,500,6,34.3234710693359
16,"DPMM",29399,3000,500,6,11.0114459991455
16,"NetC14",29399,3000,500,6,7.41433310508728
16,"SPD",29399,3000,500,6,0.00865411758422852
17,"CKDE",39247,3000,500,6,1.12389183044434
17,"BGMM",39247,3000,500,6,31.7062718868256
17,"DPMM",39247,3000,500,6,13.3791739940643
17,"NetC14",39247,3000,500,6,7.58190989494324
17,"SPD",39247,3000,500,6,0.00705099105834961
18,"CKDE",26382,3000,500,6,1.11793613433838
18,"BGMM",26382,3000,500,6,41.3689701557159
18,"DPMM",26382,3000,500,6,11.9000689983368
18,"NetC14",26382,3000,500,6,7.22282004356384
18,"SPD",26382,3000,500,6,0.00768303871154785
19,"CKDE",30427,3000,500,6,1.07118201255798
19,"BGMM",30427,3000,500,6,32.0672650337219
19,"DPMM",30427,3000,500,6,13.4477651119232
19,"NetC14",30427,3000,500,6,7.22913694381714
19,"SPD",30427,3000,500,6,0.00647687911987305
20,"CKDE",10374,3000,500,6,1.15718507766724
20,"BGMM",10374,3000,500,6,35.8083989620209
20,"DPMM",10374,3000,500,6,12.0776348114014
20,"NetC14",10374,3000,500,6,7.71920204162598
20,"SPD",10374,3000,500,6,0.00881719589233398
21,"CKDE",36152,3000,500,6,1.24250292778015
21,"BGMM",36152,3000,500,6,26.5766201019287
21,"DPMM",36152,3000,500,6,12.6163949966431
21,"NetC14",36152,3000,500,6,6.87558221817017
21,"SPD",36152,3000,500,6,0.0063011646270752
22,"CKDE",15344,3000,500,6,1.15236401557922
22,"BGMM",15344,3000,500,6,35.0466229915619
22,"DPMM",15344,3000,500,6,13.1095020771027
22,"NetC14",15344,3000,500,6,9.24448919296265
22,"SPD",15344,3000,500,6,0.00846982002258301
23,"CKDE",4364,3000,500,6,1.36036705970764
23,"BGMM",4364,3000,500,6,31.8488621711731
23,"DPMM",4364,3000,500,6,13.5383110046387
23,"NetC14",4364,3000,500,6,7.07227897644043
23,"SPD",4364,3000,500,6,0.00893497467041016
24,"CKDE",46421,3000,500,6,1.13152694702148
24,"BGMM",46421,3000,500,6,24.6798179149628
24,"DPMM",46421,3000,500,6,10.3144228458405
24,"NetC14",46421,3000,500,6,6.74013781547546
24,"SPD",46421,3000,500,6,0.00838589668273926
25,"CKDE",38422,3000,500,6,1.1582179069519
25,"BGMM",38422,3000,500,6,32.5641341209412
25,"DPMM",38422,3000,500,6,12.2948780059814
25,"NetC14",38422,3000,500,6,6.85969996452332
25,"SPD",38422,3000,500,6,0.00686788558959961
26,"CKDE",2760,3000,500,6,1.15022683143616
26,"BGMM",2760,3000,500,6,34.0333738327026
26,"DPMM",2760,3000,500,6,11.7307441234589
26,"NetC14",2760,3000,500,6,7.15728306770325
26,"SPD",2760,3000,500,6,0.0085759162902832
27,"CKDE",10135,3000,500,6,1.13193011283875
27,"BGMM",10135,3000,500,6,34.4389550685883
27,"DPMM",10135,3000,500,6,13.3092620372772
27,"NetC14",10135,3000,500,6,7.26937890052795
27,"SPD",10135,3000,500,6,0.00829982757568359
28,"CKDE",33142,3000,500,6,1.19490098953247
28,"BGMM",33142,3000,500,6,33.2909719944
28,"DPMM",33142,3000,500,6,12.970342874527
28,"NetC14",33142,3000,500,6,8.3275158405304
28,"SPD",33142,3000,500,6,0.00658416748046875
29,"CKDE",33881,3000,1000,6,1.3752281665802
29,"BGMM",33881,3000,1000,6,47.6627399921417
29,"DPMM",33881,3000,1000,6,26.2706370353699
29,"NetC14",33881,3000,1000,6,8.76379013061523
29,"SPD",33881,3000,1000,6,0.0162420272827148
30,"CKDE",10150,3000,1000,6,1.3009090423584
30,"BGMM",10150,3000,1000,6,47.4379692077637
30,"DPMM",10150,3000,1000,6,25.3516590595245
30,"NetC14",10150,3000,1000,6,9.45697498321533
30,"SPD",10150,3000,1000,6,0.0159039497375488
31,"CKDE",44246,3000,1000,6,1.33516097068787
31,"BGMM",44246,3000,1000,6,38.2264239788055
31,"DPMM",44246,3000,1000,6,21.331652879715
31,"NetC14",44246,3000,1000,6,7.21906089782715
31,"SPD",44246,3000,1000,6,0.0117909908294678
32,"CKDE",11135,3000,1000,6,1.21244192123413
32,"BGMM",11135,3000,1000,6,43.858274936676
32,"DPMM",11135,3000,1000,6,24.9095778465271
32,"NetC14",11135,3000,1000,6,7.97042393684387
32,"SPD",11135,3000,1000,6,0.0192070007324219
33,"CKDE",37229,3000,1000,6,1.2104971408844
33,"BGMM",37229,3000,1000,6,36.5315721035004
33,"DPMM",37229,3000,1000,6,26.3443758487701
33,"NetC14",37229,3000,1000,6,7.47510004043579
33,"SPD",37229,3000,1000,6,0.0136208534240723
34,"CKDE",46246,3000,1000,6,1.2228479385376
34,"BGMM",46246,3000,1000,6,28.0234889984131
34,"DPMM",46246,3000,1000,6,24.5254859924316
34,"NetC14",46246,3000,1000,6,7.55457305908203
34,"SPD",46246,3000,1000,6,0.0132639408111572
35,"CKDE",1622,3000,1000,6,1.31837892532349
35,"BGMM",1622,3000,1000,6,41.5674140453339
35,"DPMM",1622,3000,1000,6,24.680732011795
35,"NetC14",1622,3000,1000,6,8.30278706550598
35,"SPD",1622,3000,1000,6,0.0216569900512695
36,"CKDE",23663,3000,1000,6,1.33867287635803
36,"BGMM",23663,3000,1000,6,47.839900970459
36,"DPMM",23663,3000,1000,6,23.1208281517029
36,"NetC14",23663,3000,1000,6,8.26007294654846
36,"SPD",23663,3000,1000,6,0.0143430233001709
37,"CKDE",37158,3000,1000,6,1.26933288574219
37,"BGMM",37158,3000,1000,6,45.4417080879211
37,"DPMM",37158,3000,1000,6,24.94149518013
37,"NetC14",37158,3000,1000,6,7.64052295684814
37,"SPD",37158,3000,1000,6,0.0125679969787598
38,"CKDE",12230,3000,1000,6,1.18396520614624
38,"BGMM",12230,3000,1000,6,37.9101409912109
38,"DPMM",12230,3000,1000,6,22.1239151954651
38,"NetC14",12230,3000,1000,6,7.57388496398926
38,"SPD",12230,3000,1000,6,0.017970085144043
39,"CKDE",13432,3000,1000,6,1.28673005104065
39,"BGMM",13432,3000,1000,6,42.4227850437164
39,"DPMM",13432,3000,1000,6,30.2701890468597
39,"NetC14",13432,3000,1000,6,7.76311707496643
39,"SPD",13432,3000,1000,6,0.0116369724273682
40,"CKDE",45470,3000,1000,6,1.26290512084961
40,"BGMM",45470,3000,1000,6,27.5305509567261
40,"DPMM",45470,3000,1000,6,20.503005027771
40,"NetC14",45470,3000,1000,6,6.85924601554871
40,"SPD",45470,3000,1000,6,0.0158309936523438
41,"CKDE",46139,3000,1000,6,1.37118196487427
41,"BGMM",46139,3000,1000,6,27.3454511165619
41,"DPMM",46139,3000,1000,6,20.1940040588379
41,"NetC14",46139,3000,1000,6,7.26811385154724
41,"SPD",46139,3000,1000,6,0.016434907913208
42,"CKDE",27662,3000,1000,6,1.23299694061279
42,"BGMM",27662,3000,1000,6,51.6471090316772
42,"DPMM",27662,3000,1000,6,28.9379451274872
42,"NetC14",27662,3000,1000,6,8.68386721611023
42,"SPD",27662,3000,1000,6,0.0148329734802246
43,"CKDE",41648,3000,1000,6,1.21140503883362
43,"BGMM",41648,3000,1000,6,42.5408010482788
43,"DPMM",41648,3000,1000,6,24.1113810539246
43,"NetC14",41648,3000,1000,6,7.82034707069397
43,"SPD",41648,3000,1000,6,0.0157968997955322
44,"CKDE",45141,3000,1000,6,1.24662303924561
44,"BGMM",45141,3000,1000,6,28.8406591415405
44,"DPMM",45141,3000,1000,6,22.8568768501282
44,"NetC14",45141,3000,1000,6,6.98972010612488
44,"SPD",45141,3000,1000,6,0.0172019004821777
45,"CKDE",15184,3000,1000,6,1.18353819847107
45,"BGMM",15184,3000,1000,6,49.4958920478821
45,"DPMM",15184,3000,1000,6,27.5745549201965
45,"NetC14",15184,3000,1000,6,8.18808603286743
45,"SPD",15184,3000,1000,6,0.0160131454467773
46,"CKDE",9569,3000,1000,6,1.24375605583191
46,"BGMM",9569,3000,1000,6,45.8599400520325
46,"DPMM",9569,3000,1000,6,31.5252499580383
46,"NetC14",9569,3000,1000,6,7.58471298217773
46,"SPD",9569,3000,1000,6,0.0217199325561523
47,"CKDE",6892,3000,1000,6,1.2210009098053
47,"BGMM",6892,3000,1000,6,41.7861931324005
47,"DPMM",6892,3000,1000,6,27.9161279201508
47,"NetC14",6892,3000,1000,6,8.16309094429016
47,"SPD",6892,3000,1000,6,0.0189769268035889
48,"CKDE",8898,3000,1000,6,1.36764597892761
48,"BGMM",8898,3000,1000,6,48.0426859855652
48,"DPMM",8898,3000,1000,6,29.4900228977203
48,"NetC14",8898,3000,1000,6,7.86923289299011
